,statecounty,ruralurban
1226,MA Nantucket,0
1227,MA Norfolk,0
1228,MA Plymouth,0
1229,MA Suffolk,0
1230,MA Worcester,0
1231,MI Alcona,1
1232,MI Alger,1
1233,MI Allegan,1
1234,MI Alpena,1
1235,MI Antrim,1
1236,MI Arenac,1
1237,MI Baraga,1
1238,MI Barry,1
1239,MI Bay,0
1240,MI Benzie,1
1241,MI Berrien,0
1242,MI Branch,1
1243,MI Calhoun,0
1244,MI Cass,1
1245,MI Charlevoix,1
1246,MI Cheboygan,1
1247,MI Chippewa,0
1248,MI Clare,1
1249,MI Clinton,1
1250,MI Crawford,1
1251,MI Delta,0
1252,MI Dickinson,0
1253,MI Eaton,0
1254,MI Emmet,1
1255,MI Genesee,0
1256,MI Gladwin,1
1257,MI Gogebic,1
1258,MI Grand Traverse,0
1259,MI Gratiot,1
1260,MI Hillsdale,1
1261,MI Houghton,0
1262,MI Huron,1
1263,MI Ingham,0
1264,MI Ionia,1
1265,MI Iosco,1
1266,MI Iron,1
1267,MI Isabella,0
1268,MI Jackson,0
1269,MI Kalamazoo,0
1270,MI Kalkaska,1
1271,MI Kent,0
1272,MI Keweenaw,1
1273,MI Lake,1
1274,MI Lapeer,1
1275,MI Leelanau,1
1276,MI Lenawee,1
1277,MI Livingston,0
1278,MI Luce,1
1279,MI Mackinac,1
1280,MI Macomb,0
1281,MI Manistee,1
1282,MI Marquette,0
1283,MI Mason,1
1284,MI Mecosta,1
1285,MI Menominee,1
1286,MI Midland,0
1287,MI Missaukee,1
1288,MI Monroe,0
1289,MI Montcalm,1
1290,MI Montmorency,1
1291,MI Muskegon,0
1292,MI Newaygo,1
1293,MI Oakland,0
1294,MI Oceana,1
1295,MI Ogemaw,1
1296,MI Ontonagon,1
1297,MI Osceola,1
1298,MI Oscoda,1
1299,MI Otsego,1
1300,MI Ottawa,0
1301,MI Presque Isle,1
1302,MI Roscommon,1
1303,MI Saginaw,0
1304,MI Saint Clair,0
1305,MI Saint Joseph,1
1306,MI Sanilac,1
1307,MI Schoolcraft,1
1308,MI Shiawassee,1
1309,MI Tuscola,1
1310,MI Van Buren,1
1311,MI Washtenaw,0
1312,MI Wayne,0
1313,MI Wexford,1
1314,MN Aitkin,1
1315,MN Anoka,0
1316,MN Becker,1
1317,MN Beltrami,1
1318,MN Benton,0
1319,MN Big Stone,1
1320,MN Blue Earth,0
1321,MN Brown,0
1322,MN Carlton,1
1323,MN Carver,0
1324,MN Cass,1
1325,MN Chippewa,1
1326,MN Chisago,1
1327,MN Clay,0
1328,MN Clearwater,1
1329,MN Cook,1
1330,MN Cottonwood,1
1331,MN Crow Wing,1
1332,MN Dakota,0
1333,MN Dodge,1
1334,MN Douglas,1
1335,MN Faribault,1
1336,MN Fillmore,1
1337,MN Freeborn,0
1338,MN Goodhue,0
1339,MN Grant,1
1340,MN Hennepin,0
1341,MN Houston,1
1342,MN Hubbard,1
1343,MN Isanti,1
1344,MN Itasca,1
1345,MN Jackson,1
1346,MN Kanabec,1
1347,MN Kandiyohi,0
1348,MN Kittson,1
1349,MN Koochiching,0
1350,MN Lac qui Parle,1
1351,MN Lake,1
1352,MN Lake of the Woods,1
1353,MN Le Sueur,1
1354,MN Lincoln,1
1355,MN Lyon,0
1356,MN McLeod,0
1357,MN Mahnomen,1
1358,MN Marshall,1
1359,MN Martin,1
1360,MN Meeker,1
1361,MN Mille Lacs,1
1362,MN Morrison,1
1363,MN Mower,0
1364,MN Murray,1
1365,MN Nicollet,0
1366,MN Nobles,0
1367,MN Norman,1
1368,MN Olmsted,0
1369,MN Otter Tail,1
1370,MN Pennington,0
1371,MN Pine,1
1372,MN Pipestone,1
1373,MN Polk,0
1374,MN Pope,1
1375,MN Ramsey,0
1376,MN Red Lake,1
1377,MN Redwood,1
1378,MN Renville,1
1379,MN Rice,0
1380,MN Rock,1
1381,MN Roseau,1
1382,MN Saint Louis,0
1383,MN Scott,0
1384,MN Sherburne,0
1385,MN Sibley,1
1386,MN Stearns,0
1387,MN Steele,0
1388,MN Stevens,0
1389,MN Swift,1
1390,MN Todd,1
1391,MN Traverse,1
1392,MN Wabasha,1
1393,MN Wadena,1
1394,MN Waseca,1
1395,MN Washington,0
1396,MN Watonwan,1
1397,MN Wilkin,1
1398,MN Winona,0
1399,MN Wright,0
1400,MN Yellow Medicine,1
1401,MS Adams,0
1402,MS Alcorn,1
1403,MS Amite,1
1404,MS Attala,1
1405,MS Benton,1
1406,MS Bolivar,1
1407,MS Calhoun,1
1408,MS Carroll,1
1409,MS Chickasaw,1
1410,MS Choctaw,1
1411,MS Claiborne,1
1412,MS Clarke,1
1413,MS Clay,1
1414,MS Coahoma,0
1415,MS Copiah,1
1416,MS Covington,1
1417,MS DeSoto,0
1418,MS Forrest,0
1419,MS Franklin,1
1420,MS George,1
1421,MS Greene,1
1422,MS Grenada,1
1423,MS Hancock,0
1424,MS Harrison,0
1425,MS Hinds,0
1426,MS Holmes,1
1427,MS Humphreys,0
1428,MS Issaquena,1
1429,MS Itawamba,1
1430,MS Jackson,0
1431,MS Jasper,1
1432,MS Jefferson,1
1433,MS Jefferson Davis,1
1434,MS Jones,1
1435,MS Kemper,1
1436,MS Lafayette,0
1437,MS Lamar,1
1438,MS Lauderdale,0
1439,MS Lawrence,1
1440,MS Leake,1
1441,MS Lee,0
1442,MS Leflore,0
1443,MS Lincoln,1
1444,MS Lowndes,0
1445,MS Madison,0
1446,MS Marion,1
1447,MS Marshall,1
1448,MS Monroe,1
1449,MS Montgomery,1
1450,MS Neshoba,1
1451,MS Newton,1
1452,MS Noxubee,1
1453,MS Oktibbeha,0
1454,MS Panola,1
1455,MS Pearl River,1
1456,MS Perry,1
1457,MS Pike,1
1458,MS Pontotoc,1
1459,MS Prentiss,1
1460,MS Quitman,1
1461,MS Rankin,0
1462,MS Scott,1
1463,MS Sharkey,1
1464,MS Simpson,1
1465,MS Smith,1
1466,MS Stone,1
1467,MS Sunflower,0
1468,MS Tallahatchie,1
1469,MS Tate,1
1470,MS Tippah,1
1471,MS Tishomingo,1
1472,MS Tunica,1
1473,MS Union,1
1474,MS Walthall,1
1475,MS Warren,0
1476,MS Washington,0
1477,MS Wayne,1
1478,MS Webster,1
1479,MS Wilkinson,1
1480,MS Winston,1
1481,MS Yalobusha,1
1482,MS Yazoo,0
1483,MO Adair,0
1484,MO Andrew,1
1485,MO Atchison,1
1486,MO Audrain,0
1487,MO Barry,1
1488,MO Barton,1
1489,MO Bates,1
1490,MO Benton,1
1491,MO Bollinger,1
1492,MO Boone,0
1493,MO Buchanan,0
1494,MO Butler,1
1495,MO Caldwell,1
1496,MO Callaway,1
1497,MO Camden,1
1498,MO Cape Girardeau,0
1499,MO Carroll,1
1500,MO Carter,1
1501,MO Cass,0
1502,MO Cedar,1
1503,MO Chariton,1
1504,MO Christian,0
1505,MO Clark,1
1506,MO Clay,0
1507,MO Clinton,1
1508,MO Cole,0
1509,MO Cooper,1
1510,MO Crawford,1
1511,MO Dade,1
1512,MO Dallas,1
1513,MO Daviess,1
1514,MO DeKalb,1
1515,MO Dent,1
1516,MO Douglas,1
1517,MO Dunklin,1
1518,MO Franklin,1
1519,MO Gasconade,1
1520,MO Gentry,1
1521,MO Greene,0
1522,MO Grundy,0
1523,MO Harrison,1
1524,MO Henry,0
1525,MO Hickory,1
1526,MO Holt,1
1527,MO Howard,1
1528,MO Howell,1
1529,MO Iron,1
1530,MO Jackson,0
1531,MO Jasper,0
1532,MO Jefferson,0
1533,MO Johnson,1
1534,MO Knox,1
1535,MO Laclede,1
1536,MO Lafayette,1
1537,MO Lawrence,1
1538,MO Lewis,1
1539,MO Lincoln,1
1540,MO Linn,1
1541,MO Livingston,0
1542,MO McDonald,1
1543,MO Macon,1
1544,MO Madison,1
1545,MO Maries,1
1546,MO Marion,0
1547,MO Mercer,1
1548,MO Miller,1
1549,MO Mississippi,0
1550,MO Moniteau,1
1551,MO Monroe,1
1552,MO Montgomery,1
1553,MO Morgan,1
1554,MO New Madrid,1
1555,MO Newton,1
1556,MO Nodaway,0
1557,MO Oregon,1
1558,MO Osage,1
1559,MO Ozark,1
1560,MO Pemiscot,0
1561,MO Perry,1
1562,MO Pettis,0
1563,MO Phelps,0
1564,MO Pike,1
1565,MO Platte,0
1566,MO Polk,1
1567,MO Pulaski,0
1568,MO Putnam,1
1569,MO Ralls,1
1570,MO Randolph,0
1571,MO Ray,1
1572,MO Reynolds,1
1573,MO Ripley,1
1574,MO Saint Charles,0
1575,MO Saint Clair,1
1576,MO Ste. Genevieve,1
1577,MO Saint Francois,0
1578,MO Saint Louis,0
1579,MO Saline,0
1580,MO Schuyler,1
1581,MO Scotland,1
1582,MO Scott,0
1583,MO Shannon,1
1584,MO Shelby,1
1585,MO Stoddard,1
1586,MO Stone,1
1587,MO Sullivan,1
1588,MO Taney,0
1589,MO Texas,1
1590,MO Vernon,1
1591,MO Warren,1
1592,MO Washington,1
1593,MO Wayne,1
1594,MO Webster,1
1595,MO Worth,1
1596,MO Wright,1
1597,MO Saint Louis City,0
1598,MT Beaverhead,1
1599,MT Big Horn,1
1600,MT Blaine,1
1601,MT Broadwater,1
1602,MT Carbon,1
1603,MT Carter,1
1604,MT Cascade,0
1605,MT Chouteau,1
1606,MT Custer,0
1607,MT Daniels,1
1608,MT Dawson,0
1609,MT Deer Lodge,0
1610,MT Fallon,1
1611,MT Fergus,0
1612,MT Flathead,1
1613,MT Gallatin,0
1614,MT Garfield,1
1615,MT Glacier,0
1616,MT Golden Valley,1
1617,MT Granite,1
1618,MT Hill,0
1619,MT Jefferson,1
1620,MT Judith Basin,1
1621,MT Lake,1
1622,MT Lewis and Clark,0
1623,MT Liberty,1
1624,MT Lincoln,1
1625,MT McCone,1
1626,MT Madison,1
1627,MT Meagher,1
1628,MT Mineral,1
1629,MT Missoula,0
1630,MT Musselshell,1
1631,MT Park,0
1632,MT Petroleum,1
1633,MT Phillips,1
1634,MT Pondera,1
1635,MT Powder River,1
1636,MT Powell,1
1637,MT Prairie,1
1638,MT Ravalli,1
1639,MT Richland,0
1640,MT Roosevelt,0
1641,MT Rosebud,1
1642,MT Sanders,1
1643,MT Sheridan,1
1644,MT Silver Bow,0
1645,MT Stillwater,1
1646,MT Sweet Grass,1
1647,MT Teton,1
1648,MT Toole,0
1649,MT Treasure,1
1650,MT Valley,1
1651,MT Wheatland,1
1652,MT Wibaux,1
1653,MT Yellowstone,0
1654,NE Adams,0
1655,NE Antelope,1
1656,NE Arthur,1
1657,NE Banner,1
1658,NE Blaine,1
1659,NE Boone,1
1660,NE Box Butte,0
1661,NE Boyd,1
1662,NE Brown,1
1663,NE Buffalo,0
1664,NE Burt,1
1665,NE Butler,1
1666,NE Cass,1
1667,NE Cedar,1
1668,NE Chase,1
1669,NE Cherry,1
1670,NE Cheyenne,0
1671,NE Clay,1
1672,NE Colfax,0
1673,NE Cuming,1
1674,NE Custer,1
1675,NE Dakota,0
1676,NE Dawes,0
1677,NE Dawson,0
1678,NE Deuel,1
1679,NE Dixon,1
1680,NE Dodge,0
1681,NE Douglas,0
1682,NE Dundy,1
1683,NE Fillmore,1
1684,NE Franklin,1
1685,NE Frontier,1
1686,NE Furnas,1
1687,NE Gage,0
1688,NE Garden,1
1689,NE Garfield,1
1690,NE Gosper,1
1691,NE Grant,1
1692,NE Greeley,1
1693,NE Hall,0
1694,NE Hamilton,1
1695,NE Harlan,1
1696,NE Hayes,1
1697,NE Hitchcock,1
1698,NE Holt,1
1699,NE Hooker,1
1700,NE Howard,1
1701,NE Jefferson,0
1702,NE Johnson,1
1703,NE Kearney,1
1704,NE Keith,0
1705,NE Keya Paha,1
1706,NE Kimball,1
1707,NE Knox,1
1708,NE Lancaster,0
1709,NE Lincoln,0
1710,NE Logan,1
1711,NE Loup,1
1712,NE McPherson,1
1713,NE Madison,0
1714,NE Merrick,1
1715,NE Morrill,1
1716,NE Nance,1
1717,NE Nemaha,1
1718,NE Nuckolls,1
1719,NE Otoe,1
1720,NE Pawnee,1
1721,NE Perkins,1
1722,NE Phelps,0
1723,NE Pierce,1
1724,NE Platte,0
1725,NE Polk,1
1726,NE Red Willow,0
1727,NE Richardson,1
1728,NE Rock,1
1729,NE Saline,1
1730,NE Sarpy,0
1731,NE Saunders,1
1732,NE Scotts Bluff,0
1733,NE Seward,1
1734,NE Sheridan,1
1735,NE Sherman,1
1736,NE Sioux,1
1737,NE Stanton,1
1738,NE Thayer,1
1739,NE Thomas,1
1740,NE Thurston,1
1741,NE Valley,1
1742,NE Washington,1
1743,NE Wayne,0
1744,NE Webster,1
1745,NE Wheeler,1
1746,NE York,0
1747,NV Churchill,0
1748,NV Clark,0
1749,NV Douglas,0
1750,NV Elko,0
1751,NV Esmeralda,1
1752,NV Eureka,1
1753,NV Humboldt,0
1754,NV Lander,0
1755,NV Lincoln,1
1756,NV Lyon,0
1757,NV Mineral,0
1758,NV Nye,0
1759,NV Pershing,1
1760,NV Storey,1
1761,NV Washoe,0
1762,NV White Pine,1
1763,NV Carson City,0
1764,NH Belknap,1
1765,NH Carroll,1
1766,NH Cheshire,1
1767,NH Coos,1
1768,NH Grafton,1
1769,NH Hills,0
1770,NH Merrimack,1
1771,NH Rockingham,0
1772,NH Strafford,0
1773,NH Sullivan,1
1774,NJ Atlantic,0
1775,NJ Bergen,0
1776,NJ Burlington,0
1777,NJ Camden,0
1778,NJ Cape May,0
1779,NJ Cumberland,0
1780,NJ Essex,0
1781,NJ Gloucester,0
1782,NJ Hudson,0
1783,NJ Hunterdon,0
1784,NJ Mercer,0
1785,NJ Middlesex,0
1786,NJ Monmouth,0
1787,NJ Morris,0
1788,NJ Ocean,0
1789,NJ Passaic,0
1790,NJ Salem,0
1791,NJ Somerset,0
1792,NJ Sussex,0
1793,NJ Union,0
1794,NJ Warren,0
1795,NM Bernalillo,0
1796,NM Catron,1
1797,NM Chaves,0
1798,NM Cibola,1
1799,NM Colfax,1
1800,NM Curry,0
1801,NM De Baca,1
1802,NM Dona Ana,0
1803,NM Eddy,0
1804,NM Grant,0
1805,NM Guadalupe,0
1806,NM Harding,1
1807,NM Hidalgo,1
1808,NM Lea,0
1809,NM Lincoln,1
1810,NM Los Alamos,0
1811,NM Luna,0
1812,NM McKinley,1
1813,NM Mora,1
1814,NM Otero,0
1815,NM Quay,0
1816,NM Rio Arriba,0
1817,NM Roosevelt,0
1818,NM Sandoval,0
1819,NM San Juan,0
1820,NM San Miguel,0
1821,NM Santa Fe,0
1822,NM Sierra,0
1823,NM Socorro,0
1824,NM Taos,1
1825,NM Torrance,1
1826,NM Union,1
1827,NM Valencia,0
1828,NY Albany,0
1829,NY Allegany,1
1830,NY Bronx,0
1831,NY Broome,0
1832,NY Cattaraugus,1
1833,NY Cayuga,1
1834,NY Chautauqua,0
1835,NY Chemung,0
1836,NY Chenango,1
1837,NY Clinton,1
1838,NY Columbia,1
1839,NY Cortland,0
1840,NY Delaware,1
1841,NY Dutchess,0
1842,NY Erie,0
1843,NY Essex,1
1844,NY Franklin,1
1845,NY Fulton,1
1846,NY Genesee,1
1847,NY Greene,1
1848,NY Hamilton,1
1849,NY Herkimer,1
1850,NY Jefferson,0
1851,NY Kings,0
1852,NY Lewis,1
1853,NY Livingston,1
1854,NY Madison,1
1855,NY Monroe,0
1856,NY Montgomery,0
1857,NY Nassau,0
1858,NY New York,0
1859,NY Niagara,0
1860,NY Oneida,0
1861,NY Onondaga,0
1862,NY Ontario,0
1863,NY Orange,0
1864,NY Orleans,1
1865,NY Oswego,1
1866,NY Otsego,1
1867,NY Putnam,0
1868,NY Queens,0
1869,NY Rensselaer,0
1870,NY Richmond,0
1871,NY Rockland,0
1872,NY Saint Lawrence,1
1873,NY Saratoga,0
1874,NY Schenectady,0
1875,NY Schoharie,1
1876,NY Schuyler,1
1877,NY Seneca,1
1878,NY Steuben,1
1879,NY Suffolk,0
1880,NY Sullivan,1
1881,NY Tioga,1
1882,NY Tompkins,0
1883,NY Ulster,0
1884,NY Warren,0
1885,NY Washington,1
1886,NY Wayne,1
1887,NY Westchester,0
1888,NY Wyoming,1
1889,NY Yates,1
1890,NC Alamance,0
1891,NC Alexander,1
1892,NC Alleghany,1
1893,NC Anson,1
1894,NC Ashe,1
1895,NC Avery,1
1896,NC Beaufort,1
1897,NC Bertie,1
1898,NC Bladen,1
1899,NC Brunswick,0
1900,NC Buncombe,0
1901,NC Burke,0
1902,NC Cabarrus,0
1903,NC Caldwell,0
1904,NC Camden,1
1905,NC Carteret,0
1906,NC Caswell,1
1907,NC Catawba,0
1908,NC Chatham,1
1909,NC Cherokee,1
1910,NC Chowan,1
1911,NC Clay,1
1912,NC Cleveland,1
1913,NC Columbus,1
1914,NC Craven,0
1915,NC Cumberland,0
1916,NC Currituck,1
1917,NC Dare,0
1918,NC Davidson,0
1919,NC Davie,1
1920,NC Duplin,1
1921,NC Durham,0
1922,NC Edgecombe,0
1923,NC Forsyth,0
1924,NC Franklin,1
1925,NC Gaston,0
1926,NC Gates,1
1927,NC Graham,1
1928,NC Granville,1
1929,NC Greene,1
1930,NC Guilford,0
1931,NC Halifax,1
1932,NC Harnett,1
1933,NC Haywood,1
1934,NC Henderson,0
1935,NC Hertford,1
1936,NC Hoke,0
1937,NC Hyde,1
1938,NC Iredell,0
1939,NC Jackson,1
1940,NC Johnston,1
1941,NC Jones,1
1942,NC Lee,0
1943,NC Lenoir,0
1944,NC Lincoln,1
1945,NC McDowell,1
1946,NC Macon,1
1947,NC Madison,1
1948,NC Martin,1
1949,NC Mecklenburg,0
1950,NC Mitchell,1
1951,NC Montgomery,1
1952,NC Moore,1
1953,NC Nash,0
1954,NC New Hanover,0
1955,NC Northampton,1
1956,NC Onslow,0
1957,NC Orange,0
1958,NC Pamlico,1
1959,NC Pasquotank,0
1960,NC Pender,1
1961,NC Perquimans,1
1962,NC Person,1
1963,NC Pitt,0
1964,NC Polk,1
1965,NC Randolph,1
1966,NC Richmond,0
1967,NC Robeson,1
1968,NC Rockingham,1
1969,NC Rowan,0
1970,NC Rutherford,1
1971,NC Sampson,1
1972,NC Scotland,0
1973,NC Stanly,1
1974,NC Stokes,1
1975,NC Surry,1
1976,NC Swain,1
1977,NC Transylvania,1
1978,NC Tyrrell,1
1979,NC Union,0
1980,NC Vance,1
1981,NC Wake,0
1982,NC Warren,1
1983,NC Washington,1
1984,NC Watauga,1
1985,NC Wayne,0
1986,NC Wilkes,1
1987,NC Wilson,0
1988,NC Yadkin,1
1989,NC Yancey,1
1990,ND Adams,1
1991,ND Barnes,0
1992,ND Benson,1
1993,ND Billings,1
1994,ND Bottineau,1
1995,ND Bowman,1
1996,ND Burke,1
1997,ND Burleigh,0
1998,ND Cass,0
1999,ND Cavalier,1
2000,ND Dickey,1
2001,ND Divide,1
2002,ND Dunn,1
2003,ND Eddy,1
2004,ND Emmons,1
2005,ND Foster,1
2006,ND Golden Valley,1
2007,ND Grand Forks,0
2008,ND Grant,1
2009,ND Griggs,1
2010,ND Hettinger,1
2011,ND Kidder,1
2012,ND LaMoure,1
2013,ND Logan,1
2014,ND McHenry,1
2015,ND McIntosh,1
2016,ND McKenzie,1
2017,ND McLean,1
2018,ND Mercer,1
2019,ND Morton,0
2020,ND Mountrail,1
2021,ND Nelson,1
2022,ND Oliver,1
2023,ND Pembina,1
2024,ND Pierce,0
2025,ND Ramsey,0
2026,ND Ransom,1
2027,ND Renville,1
2028,ND Richland,1
2029,ND Rolette,1
2030,ND Sargent,1
2031,ND Sheridan,1
2032,ND Sioux,1
2033,ND Slope,1
2034,ND Stark,0
2035,ND Steele,1
2036,ND Stutsman,0
2037,ND Towner,1
2038,ND Traill,1
2039,ND Walsh,1
2040,ND Ward,0
2041,ND Wells,1
2042,ND Williams,0
2043,OH Adams,1
2044,OH Allen,0
2045,OH Ashland,1
2046,OH Ashtabula,0
2047,OH Athens,0
2048,OH Auglaize,0
2049,OH Belmont,1
2050,OH Brown,1
2051,OH Butler,0
2052,OH Carroll,1
2053,OH Champaign,1
2054,OH Clark,0
2055,OH Clermont,0
2056,OH Clinton,1
2057,OH Columbiana,0
2058,OH Coshocton,1
2059,OH Crawford,0
2060,OH Cuyahoga,0
2061,OH Darke,1
2062,OH Defiance,0
2063,OH Delaware,0
2064,OH Erie,0
2065,OH Fairfield,0
2066,OH Fayette,0
2067,OH Franklin,0
2068,OH Fulton,1
2069,OH Gallia,1
2070,OH Geauga,1
2071,OH Greene,0
2072,OH Guernsey,1
2073,OH Hamilton,0
2074,OH Hancock,0
2075,OH Hardin,1
2076,OH Harrison,1
2077,OH Henry,1
2078,OH Highland,1
2079,OH Hocking,1
2080,OH Holmes,1
2081,OH Huron,1
2082,OH Jackson,1
2083,OH Jefferson,0
2084,OH Knox,1
2085,OH Lake,0
2086,OH Lawrence,0
2087,OH Licking,0
2088,OH Logan,1
2089,OH Lorain,0
2090,OH Lucas,0
2091,OH Madison,0
2092,OH Mahoning,0
2093,OH Marion,0
2094,OH Medina,0
2095,OH Meigs,1
2096,OH Mercer,1
2097,OH Miami,0
2098,OH Monroe,1
2099,OH Montgomery,0
2100,OH Morgan,1
2101,OH Morrow,1
2102,OH Muskingum,0
2103,OH Noble,1
2104,OH Ottawa,0
2105,OH Paulding,1
2106,OH Perry,1
2107,OH Pickaway,0
2108,OH Pike,1
2109,OH Portage,0
2110,OH Preble,1
2111,OH Putnam,1
2112,OH Richland,0
2113,OH Ross,1
2114,OH Sandusky,0
2115,OH Scioto,1
2116,OH Seneca,0
2117,OH Shelby,1
2118,OH Stark,0
2119,OH Summit,0
2120,OH Trumbull,0
2121,OH Tuscarawas,0
2122,OH Union,0
2123,OH Van Wert,1
2124,OH Vinton,1
2125,OH Warren,0
2126,OH Washington,1
2127,OH Wayne,1
2128,OH Williams,1
2129,OH Wood,0
2130,OH Wyandot,1
2131,OK Adair,1
2132,OK Alfalfa,1
2133,OK Atoka,1
2134,OK Beaver,1
2135,OK Beckham,0
2136,OK Blaine,1
2137,OK Bryan,1
2138,OK Caddo,1
2139,OK Canadian,0
2140,OK Carter,1
2141,OK Cherokee,1
2142,OK Choctaw,1
2143,OK Cimarron,1
2144,OK Cleveland,0
2145,OK Coal,1
2146,OK Comanche,0
2147,OK Cotton,1
2148,OK Craig,1
2149,OK Creek,1
2150,OK Custer,0
2151,OK Delaware,1
2152,OK Dewey,1
2153,OK Ellis,1
2154,OK Garfield,0
2155,OK Garvin,1
2156,OK Grady,1
2157,OK Grant,1
2158,OK Greer,1
2159,OK Harmon,1
2160,OK Harper,1
2161,OK Haskell,1
2162,OK Hughes,1
2163,OK Jackson,0
2164,OK Jefferson,1
2165,OK Johnston,1
2166,OK Kay,0
2167,OK Kingfisher,1
2168,OK Kiowa,1
2169,OK Latimer,1
2170,OK Le Flore,1
2171,OK Lincoln,1
2172,OK Logan,1
2173,OK Love,1
2174,OK McClain,1
2175,OK McCurtain,1
2176,OK McIntosh,1
2177,OK Major,1
2178,OK Marshall,1
2179,OK Mayes,1
2180,OK Murray,0
2181,OK Muskogee,0
2182,OK Noble,1
2183,OK Nowata,1
2184,OK Okfuskee,1
2185,OK Oklahoma,0
2186,OK Okmulgee,0
2187,OK Osage,1
2188,OK Ottawa,0
2189,OK Pawnee,1
2190,OK Payne,0
2191,OK Pittsburg,1
2192,OK Pontotoc,1
2193,OK Pottawatomie,1
2194,OK Pushmataha,1
2195,OK Roger Mills,1
2196,OK Rogers,1
2197,OK Seminole,1
2198,OK Sequoyah,1
2199,OK Stephens,0
2200,OK Texas,0
2201,OK Tillman,1
2202,OK Tulsa,0
2203,OK Wagoner,0
2204,OK Washington,0
2205,OK Washita,1
2206,OK Woods,0
2207,OK Woodward,0
2208,OR Baker,0
2209,OR Benton,0
2210,OR Clackamas,0
2211,OR Clatsop,0
2212,OR Columbia,0
2213,OR Coos,0
2214,OR Crook,0
2215,OR Curry,0
2216,OR Deschutes,0
2217,OR Douglas,0
2218,OR Gilliam,1
2219,OR Grant,1
2220,OR Harney,0
2221,OR Hood River,1
2222,OR Jackson,0
2223,OR Jefferson,1
2224,OR Josephine,0
2225,OR Klamath,0
2226,OR Lake,1
2227,OR Lane,0
2228,OR Lincoln,0
2229,OR Linn,0
2230,OR Malheur,0
2231,OR Marion,0
2232,OR Morrow,0
2233,OR Multnomah,0
2234,OR Polk,0
2235,OR Sherman,1
2236,OR Tillamook,1
2237,OR Umatilla,0
2238,OR Union,0
2239,OR Wallowa,1
2240,OR Wasco,0
2241,OR Washington,0
2242,OR Wheeler,1
2243,OR Yamhill,0
2244,PA Adams,1
2245,PA Allegheny,0
2246,PA Armstrong,1
2247,PA Beaver,0
2248,PA Bedford,1
2249,PA Berks,0
2250,PA Blair,0
2251,PA Bradford,1
2252,PA Bucks,0
2253,PA Butler,0
2254,PA Cambria,0
2255,PA Cameron,0
2256,PA Carbon,0
2257,PA Centre,0
2258,PA Chester,0
2259,PA Clarion,1
2260,PA Clearfield,1
2261,PA Clinton,0
2262,PA Columbia,0
2263,PA Crawford,1
2264,PA Cumberland,0
2265,PA Dauphin,0
2266,PA Delaware,0
2267,PA Elk,1
2268,PA Erie,0
2269,PA Fayette,0
2270,PA Forest,1
2271,PA Franklin,0
2272,PA Fulton,1
2273,PA Greene,1
2274,PA Huntingdon,1
2275,PA Indiana,1
2276,PA Jefferson,1
2277,PA Juniata,1
2278,PA Lackawanna,0
2279,PA Lancaster,0
2280,PA Lawrence,0
2281,PA Lebanon,0
2282,PA Lehigh,0
2283,PA Luzerne,0
2284,PA Lycoming,0
2285,PA McKean,1
2286,PA Mercer,0
2287,PA Mifflin,1
2288,PA Monroe,0
2289,PA Montgomery,0
2290,PA Montour,1
2291,PA Northampton,0
2292,PA Northumberland,0
2293,PA Perry,1
2294,PA Philadelphia,0
2295,PA Pike,1
2296,PA Potter,1
2297,PA Schuylkill,0
2298,PA Snyder,1
2299,PA Somerset,1
2300,PA Sullivan,1
2301,PA Susquehanna,1
2302,PA Tioga,1
2303,PA Union,0
2304,PA Venango,1
2305,PA Warren,1
2306,PA Washington,0
2307,PA Wayne,1
2308,PA Westmoreland,0
2309,PA Wyoming,1
2310,PA York,0
2311,RI Bristol,0
2312,RI Kent,0
2313,RI Newport,0
2314,RI Providence,0
2315,RI Washington,0
2316,SC Abbeville,1
2317,SC Aiken,0
2318,SC Allendale,1
2319,SC Anderson,0
2320,SC Bamberg,1
2321,SC Barnwell,1
2322,SC Beaufort,0
2323,SC Berkeley,0
2324,SC Calhoun,1
2325,SC Charleston,0
2326,SC Cherokee,1
2327,SC Chester,1
2328,SC Chesterfield,1
2329,SC Clarendon,1
2330,SC Colleton,1
2331,SC Darlington,1
2332,SC Dillon,1
2333,SC Dorchester,0
2334,SC Edgefield,1
2335,SC Fairfield,1
2336,SC Florence,0
2337,SC Georgetown,0
2338,SC Greenville,0
2339,SC Greenwood,0
2340,SC Hampton,1
2341,SC Horry,0
2342,SC Jasper,1
2343,SC Kershaw,1
2344,SC Lancaster,0
2345,SC Laurens,1
2346,SC Lee,1
2347,SC Lexington,0
2348,SC McCormick,1
2349,SC Marion,1
2350,SC Marlboro,1
2351,SC Newberry,1
2352,SC Oconee,1
2353,SC Orangeburg,1
2354,SC Pickens,0
2355,SC Richland,0
2356,SC Saluda,1
2357,SC Spartanburg,0
2358,SC Sumter,0
2359,SC Union,1
2360,SC Williamsburg,1
2361,SC York,0
2362,SD Aurora,1
2363,SD Beadle,0
2364,SD Bennett,1
2365,SD Bon Homme,1
2366,SD Brookings,0
2367,SD Brown,0
2368,SD Brule,1
2369,SD Buffalo,1
2370,SD Butte,0
2371,SD Campbell,1
2372,SD Charles Mix,1
2373,SD Clark,1
2374,SD Clay,0
2375,SD Codington,0
2376,SD Corson,1
2377,SD Custer,1
2378,SD Davison,0
