,statecounty,ruralurban
275,CO Kiowa,1
276,CO Kit Carson,0
277,CO Lake,0
278,CO La Plata,1
279,CO Larimer,0
280,CO Las Animas,0
281,CO Lincoln,1
282,CO Logan,0
283,CO Mesa,0
284,CO Mineral,1
285,CO Moffat,0
286,CO Montezuma,1
287,CO Montrose,0
288,CO Morgan,0
289,CO Otero,0
290,CO Ouray,1
291,CO Park,1
292,CO Phillips,1
293,CO Pitkin,0
294,CO Prowers,0
295,CO Pueblo,0
296,CO Rio Blanco,1
297,CO Rio Grande,1
298,CO Routt,0
299,CO Saguache,1
300,CO San Juan,1
301,CO San Miguel,1
302,CO Sedgwick,1
303,CO Summit,0
304,CO Teller,1
305,CO Washington,1
306,CO Weld,0
307,CO Yuma,1
308,CT Fairfield,0
309,CT Hartford,0
310,CT Litchfield,0
311,CT Middlesex,0
312,CT New Haven,0
313,CT New London,0
314,CT Tolland,0
315,CT Windham,0
316,DE Kent,0
317,DE New Castle,0
318,DE Sussex,0
319,DC District of Columbia,0
320,FL Alachua,0
321,FL Baker,1
322,FL Bay,0
323,FL Bradford,1
324,FL Brevard,0
325,FL Broward,0
326,FL Calhoun,1
327,FL Charlotte,0
328,FL Citrus,0
329,FL Clay,0
330,FL Collier,0
331,FL Columbia,1
332,FL DeSoto,0
333,FL Dixie,1
334,FL Duval,0
335,FL Escambia,0
336,FL Flagler,0
337,FL Franklin,1
338,FL Gadsden,1
339,FL Gilchrist,1
340,FL Glades,1
341,FL Gulf,1
342,FL Hamilton,1
343,FL Hardee,0
344,FL Hendry,0
345,FL Hernando,0
346,FL Highlands,0
347,FL Hills,0
348,FL Holmes,1
349,FL Indian River,0
350,FL Jackson,1
351,FL Jefferson,1
352,FL Lafayette,1
353,FL Lake,0
354,FL Lee,0
355,FL Leon,0
356,FL Levy,1
357,FL Liberty,1
358,FL Madison,1
359,FL Manatee,0
360,FL Marion,0
361,FL Martin,0
362,FL Miami-Dade,0
363,FL Monroe,0
364,FL Nassau,0
365,FL Okaloosa,0
366,FL Okeechobee,0
367,FL Orange,0
368,FL Osceola,0
369,FL Palm Beach,0
370,FL Pasco,0
371,FL Pinellas,0
372,FL Polk,0
373,FL Putnam,1
374,FL Saint Johns,0
375,FL Saint Lucie,0
376,FL Santa Rosa,0
377,FL Sarasota,0
378,FL Seminole,0
379,FL Sumter,0
380,FL Suwannee,1
381,FL Taylor,1
382,FL Union,1
383,FL Volusia,0
384,FL Wakulla,1
385,FL Walton,1
386,FL Washington,1
387,GA Appling,1
388,GA Atkinson,1
389,GA Bacon,1
390,GA Baker,1
391,GA Baldwin,0
392,GA Banks,1
393,GA Barrow,0
394,GA Bartow,0
395,GA Ben Hill,0
396,GA Berrien,1
397,GA Bibb,0
398,GA Bleckley,1
399,GA Brantley,1
400,GA Brooks,1
401,GA Bryan,1
402,GA Bulloch,0
403,GA Burke,1
404,GA Butts,1
405,GA Calhoun,1
406,GA Camden,0
407,GA Candler,1
408,GA Carroll,0
409,GA Catoosa,0
410,GA Charlton,1
411,GA Chatham,0
412,GA Chattahoochee,0
413,GA Chattooga,1
414,GA Cherokee,0
415,GA Clarke,0
416,GA Clay,1
417,GA Clayton,0
418,GA Clinch,1
419,GA Cobb,0
420,GA Coffee,1
421,GA Colquitt,1
422,GA Columbia,0
423,GA Cook,1
424,GA Coweta,0
425,GA Crawford,1
426,GA Crisp,0
427,GA Dade,1
428,GA Dawson,1
429,GA Decatur,1
430,GA DeKalb,0
431,GA Dodge,1
432,GA Dooly,1
433,GA Dougherty,0
434,GA Douglas,0
435,GA Early,1
436,GA Echols,1
437,GA Effingham,1
438,GA Elbert,1
439,GA Emanuel,1
440,GA Evans,1
441,GA Fannin,1
442,GA Fayette,0
443,GA Floyd,0
444,GA Forsyth,0
445,GA Franklin,1
446,GA Fulton,0
447,GA Gilmer,1
448,GA Glascock,1
449,GA Glynn,0
450,GA Gordon,1
451,GA Grady,1
452,GA Greene,1
453,GA Gwinnett,0
454,GA Habersham,1
455,GA Hall,0
456,GA Hancock,1
457,GA Haralson,1
458,GA Harris,1
459,GA Hart,1
460,GA Heard,1
461,GA Henry,0
462,GA Houston,0
463,GA Irwin,1
464,GA Jackson,1
465,GA Jasper,1
466,GA Jeff Davis,1
467,GA Jefferson,1
468,GA Jenkins,1
469,GA Johnson,1
470,GA Jones,1
471,GA Lamar,1
472,GA Lanier,1
473,GA Laurens,1
474,GA Lee,0
475,GA Liberty,0
476,GA Lincoln,1
477,GA Long,1
478,GA Lowndes,0
479,GA Lumpkin,1
480,GA McDuffie,1
481,GA McIntosh,1
482,GA Macon,1
483,GA Madison,1
484,GA Marion,1
485,GA Meriwether,1
486,GA Miller,1
487,GA Mitchell,1
488,GA Monroe,1
489,GA Montgomery,1
490,GA Morgan,1
491,GA Murray,1
492,GA Muscogee,0
493,GA Newton,0
494,GA Oconee,1
495,GA Oglethorpe,1
496,GA Paulding,0
497,GA Peach,0
498,GA Pickens,1
499,GA Pierce,1
500,GA Pike,1
501,GA Polk,1
502,GA Pulaski,1
503,GA Putnam,1
504,GA Quitman,1
505,GA Rabun,1
506,GA Randolph,1
507,GA Richmond,0
508,GA Rockdale,0
509,GA Schley,1
510,GA Screven,1
511,GA Seminole,1
512,GA Spalding,0
513,GA Stephens,1
514,GA Stewart,1
515,GA Sumter,0
516,GA Talbot,1
517,GA Taliaferro,1
518,GA Tattnall,1
519,GA Taylor,1
520,GA Telfair,0
521,GA Terrell,1
522,GA Thomas,0
523,GA Tift,0
524,GA Toombs,1
525,GA Towns,1
526,GA Treutlen,1
527,GA Troup,0
528,GA Turner,0
529,GA Twiggs,1
530,GA Union,1
531,GA Upson,0
532,GA Walker,0
533,GA Walton,0
534,GA Ware,0
535,GA Warren,1
536,GA Washington,1
537,GA Wayne,1
538,GA Webster,1
539,GA Wheeler,1
540,GA White,1
541,GA Whitfield,0
542,GA Wilcox,1
543,GA Wilkes,1
544,GA Wilkinson,1
545,GA Worth,1
546,HI Hawaii,0
547,HI Honolulu,0
548,HI Kalawao,1
549,HI Kauai,0
550,HI Maui,0
551,ID Ada,0
552,ID Adams,1
553,ID Bannock,0
554,ID Bear Lake,1
555,ID Benewah,1
556,ID Bingham,1
557,ID Blaine,0
558,ID Boise,1
559,ID Bonner,1
560,ID Bonneville,0
561,ID Boundary,1
562,ID Butte,1
563,ID Camas,1
564,ID Canyon,0
565,ID Caribou,1
566,ID Cassia,1
567,ID Clark,1
568,ID Clearwater,1
569,ID Custer,1
570,ID Elmore,0
571,ID Franklin,1
572,ID Fremont,1
573,ID Gem,0
574,ID Gooding,1
575,ID Idaho,1
576,ID Jefferson,1
577,ID Jerome,1
578,ID Kootenai,0
579,ID Latah,0
580,ID Lemhi,1
581,ID Lewis,1
582,ID Lincoln,1
583,ID Madison,0
584,ID Minidoka,0
585,ID Nez Perce,0
586,ID Oneida,1
587,ID Owyhee,1
588,ID Payette,0
589,ID Power,0
590,ID Shoshone,1
591,ID Teton,1
592,ID Twin Falls,0
593,ID Valley,1
594,ID Washington,0
595,IL Adams,0
596,IL Alexander,1
597,IL Bond,1
598,IL Boone,0
599,IL Brown,0
600,IL Bureau,1
601,IL Calhoun,1
602,IL Carroll,1
603,IL Cass,1
604,IL Champaign,0
605,IL Christian,0
606,IL Clark,1
607,IL Clay,1
608,IL Clinton,0
609,IL Coles,0
610,IL Cook,0
611,IL Crawford,1
612,IL Cumberland,1
613,IL DeKalb,0
614,IL De Witt,0
615,IL Douglas,1
616,IL Du Page,0
617,IL Edgar,1
618,IL Edwards,1
619,IL Effingham,1
620,IL Fayette,1
621,IL Ford,0
622,IL Franklin,0
623,IL Fulton,1
624,IL Gallatin,1
625,IL Greene,1
626,IL Grundy,0
627,IL Hamilton,1
628,IL Hancock,1
629,IL Hardin,1
630,IL Henderson,1
631,IL Henry,1
632,IL Iroquois,1
633,IL Jackson,0
634,IL Jasper,1
635,IL Jefferson,1
636,IL Jersey,1
637,IL Jo Daviess,1
638,IL Johnson,1
639,IL Kane,0
640,IL Kankakee,0
641,IL Kendall,0
642,IL Knox,0
643,IL Lake,0
644,IL La Salle,0
645,IL Lawrence,1
646,IL Lee,1
647,IL Livingston,0
648,IL Logan,0
649,IL McDonough,0
650,IL McHenry,0
651,IL McLean,0
652,IL Macon,0
653,IL Macoupin,1
654,IL Madison,0
655,IL Marion,0
656,IL Marshall,1
657,IL Mason,1
658,IL Massac,1
659,IL Menard,1
660,IL Mercer,1
661,IL Monroe,0
662,IL Montgomery,0
663,IL Morgan,0
664,IL Moultrie,1
665,IL Ogle,0
666,IL Peoria,0
667,IL Perry,0
668,IL Piatt,1
669,IL Pike,1
670,IL Pope,1
671,IL Pulaski,1
672,IL Putnam,1
673,IL Randolph,0
674,IL Richland,0
675,IL Rock Island,0
676,IL Saint Clair,0
677,IL Saline,0
678,IL Sangamon,0
679,IL Schuyler,1
680,IL Scott,1
681,IL Shelby,1
682,IL Stark,1
683,IL Stephenson,0
684,IL Tazewell,0
685,IL Union,1
686,IL Vermilion,0
687,IL Wabash,0
688,IL Warren,0
689,IL Washington,1
690,IL Wayne,1
691,IL White,1
692,IL Whiteside,0
693,IL Will,0
694,IL Williamson,0
695,IL Winnebago,0
696,IL Woodford,1
697,IN Adams,1
698,IN Allen,0
699,IN Bartholomew,0
700,IN Benton,1
701,IN Blackford,1
702,IN Boone,0
703,IN Brown,1
704,IN Carroll,1
705,IN Cass,0
706,IN Clark,0
707,IN Clay,1
708,IN Clinton,0
709,IN Crawford,1
710,IN Daviess,1
711,IN Dearborn,1
712,IN Decatur,1
713,IN DeKalb,0
714,IN Delaware,0
715,IN Dubois,0
716,IN Elkhart,0
717,IN Fayette,0
718,IN Floyd,0
719,IN Fountain,1
720,IN Franklin,1
721,IN Fulton,1
722,IN Gibson,1
723,IN Grant,0
724,IN Greene,1
725,IN Hamilton,0
726,IN Hancock,0
727,IN Harrison,1
728,IN Hendricks,0
729,IN Henry,0
730,IN Howard,0
731,IN Huntington,1
732,IN Jackson,0
733,IN Jasper,1
734,IN Jay,1
735,IN Jefferson,0
736,IN Jennings,1
737,IN Johnson,0
738,IN Knox,0
739,IN Kosciusko,0
740,IN LaGrange,1
741,IN Lake,0
742,IN LaPorte,0
743,IN Lawrence,1
744,IN Madison,0
745,IN Marion,0
746,IN Marshall,1
747,IN Martin,1
748,IN Miami,0
749,IN Monroe,0
750,IN Montgomery,1
751,IN Morgan,0
752,IN Newton,1
753,IN Noble,1
754,IN Ohio,1
755,IN Orange,1
756,IN Owen,1
757,IN Parke,1
758,IN Perry,1
759,IN Pike,1
760,IN Porter,0
761,IN Posey,1
762,IN Pulaski,1
763,IN Putnam,1
764,IN Randolph,1
765,IN Ripley,1
766,IN Rush,1
767,IN Saint Joseph,0
768,IN Scott,1
769,IN Shelby,1
770,IN Spencer,1
771,IN Starke,1
772,IN Steuben,1
773,IN Sullivan,1
774,IN Switzerland,1
775,IN Tippecanoe,0
776,IN Tipton,1
777,IN Union,1
778,IN Vanderburgh,0
779,IN Vermillion,1
780,IN Vigo,0
781,IN Wabash,0
782,IN Warren,1
783,IN Warrick,0
784,IN Washington,1
785,IN Wayne,0
786,IN Wells,1
787,IN White,1
788,IN Whitley,1
789,IA Adair,1
790,IA Adams,1
791,IA Allamakee,1
792,IA Appanoose,1
793,IA Audubon,1
794,IA Benton,1
795,IA Black Hawk,0
796,IA Boone,1
797,IA Bremer,1
798,IA Buchanan,1
799,IA Buena Vista,0
800,IA Butler,1
801,IA Calhoun,1
802,IA Carroll,1
803,IA Cass,1
804,IA Cedar,1
805,IA Cerro Gordo,0
806,IA Cherokee,1
807,IA Chickasaw,1
808,IA Clarke,0
809,IA Clay,0
810,IA Clayton,1
